號碼,選區,選民人數,投票率,吳文遠,何志光,毛孟靜,梁美芬,譚國僑,朱韶洪,黃毓民,黃碧雲,林依麗,蔣麗芸,關新偉,劉小麗,游蕙禎,李泳漢,狄志遠,總有效,無效,非建制,建制,其他,得票率差,吳文遠%,何志光%,毛孟靜%,梁美芬%,譚國僑%,朱韶洪%,黃毓民%,黃碧雲%,林依麗%,蔣麗芸%,關新偉%,劉小麗%,游蕙禎%,李泳漢%,狄志遠%
G04*,樂民,8027,58.98%,119.983683249658,6.41134185303514,518.402784116842,1380.27031036057,84.2633500684619,8.24315381104518,286.678571428571,484.514262893656,8.24315381104518,578.852578731173,8.24315381104518,588.927544500228,309.576220903697,10.9908717480602,248.210520310361,4641.81150159745,92.5065038795071,52.27%,42.38%,5.35%,9.89%,2.58%,0.14%,11.17%,29.74%,1.82%,0.18%,6.18%,10.44%,0.18%,12.47%,0.18%,12.69%,6.67%,0.24%,5.35%
G05,常樂,10073,55.83%,112,9,421,352,1246,12,402,309,12,1461,10,649,358,27,123,5503,121,64.64%,33.13%,2.24%,31.51%,2.04%,0.16%,7.65%,6.40%,22.64%,0.22%,7.31%,5.62%,0.22%,26.55%,0.18%,11.79%,6.51%,0.49%,2.24%
G06,何文田,9366,63.51%,102,11,856,1145,95,13,304,726,14,999,21,817,307,11,471,5892,56,55.26%,36.74%,7.99%,18.52%,1.73%,0.19%,14.53%,19.43%,1.61%,0.22%,5.16%,12.32%,0.24%,16.96%,0.36%,13.87%,5.21%,0.19%,7.99%
G07,嘉道理,8174,62.16%,106,4,856,822,124,10,329,563,4,814,34,779,291,10,292,5038,43,61.06%,33.15%,5.80%,27.91%,2.10%,0.08%,16.99%,16.32%,2.46%,0.20%,6.53%,11.18%,0.08%,16.16%,0.67%,15.46%,5.78%,0.20%,5.80%
G08,太子,6567,59.11%,78,5,613,661,61,7,236,431,10,715,10,507,237,12,257,3840,42,57.21%,36.09%,6.69%,21.12%,2.03%,0.13%,15.96%,17.21%,1.59%,0.18%,6.15%,11.22%,0.26%,18.62%,0.26%,13.20%,6.17%,0.31%,6.69%
G09,九龍塘,7465,60.52%,80,3,627,865,53,12,249,474,7,866,26,624,232,15,334,4467,51,53.19%,39.33%,7.48%,13.86%,1.79%,0.07%,14.04%,19.36%,1.19%,0.27%,5.57%,10.61%,0.16%,19.39%,0.58%,13.97%,5.19%,0.34%,7.48%
G10,龍城,6032,48.43%,83,1,356,202,70,7,238,241,8,878,7,450,210,10,93,2854,67,58.65%,38.09%,3.26%,20.57%,2.91%,0.04%,12.47%,7.08%,2.45%,0.25%,8.34%,8.44%,0.28%,30.76%,0.25%,15.77%,7.36%,0.35%,3.26%
G11*,宋皇臺,7460,56.81%,112.399986777297,2.60602955274206,511.764768106839,599.211992991967,227.918581203927,11.6834154242835,360.805989884632,366.000958645995,15.8080394036561,786.188820204291,18.9427126375988,603.491388714423,326.364781329543,10.6834154242835,210.406003107335,4164.27688340881,73.7738587154144,61.22%,33.72%,5.05%,27.50%,2.70%,0.06%,12.29%,14.39%,5.47%,0.28%,8.66%,8.79%,0.38%,18.88%,0.45%,14.49%,7.84%,0.26%,5.05%
G12*,啟德北,7021,54.83%,113.18922386145,4.83194355355998,206.248236048749,1465.23925593329,62.2815907633098,14.20590121873,255.248236048749,355.055163566389,7.66388710711995,532.835150737652,11.28992944195,315.933290570879,319.666452854394,10.8928800513149,82.1661321359846,3756.74727389352,92.6472097498397,44.33%,53.49%,2.19%,-9.16%,3.01%,0.13%,5.49%,39.00%,1.66%,0.38%,6.79%,9.45%,0.20%,14.18%,0.30%,8.41%,8.51%,0.29%,2.19%
G13*,啟德南,6010,55.48%,84.8107761385504,6.16805644644003,192.751763951251,1064.76074406671,44.7184092366902,10.79409878127,192.751763951251,309.944836433611,12.3361128928801,639.164849262348,7.71007055805003,296.066709429121,278.333547145606,13.1071199486851,94.8338678640154,3248.25272610648,86.3527902501604,44.39%,52.69%,2.92%,-8.31%,2.61%,0.19%,5.93%,32.78%,1.38%,0.33%,5.93%,9.54%,0.38%,19.68%,0.24%,9.11%,8.57%,0.40%,2.92%
